 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21, .1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .2,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41, .3,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51, .4,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61, .5
 Paper 77 , Operational Practices of Lean Manufacturing: Potentiating Environmental Improvements ,VSM ," Used in combination with Kaizen, PDCA, Ishikawa Diagram, Poka-Yoke, and Standardized Work "," Reduction of energy consumption by 21%, reduction of water consumption by 21%, and an annual cost reduction of US $ 17,900.00 ", Electronics industry company in Brazil ,Brazil,South America, Electronics manufacturing ,Electronics,2017," Reduction of energy consumption by 21%, reduction of water consumption by 21% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 94 , Value Stream Mapping as Lean Production tool to improve the production process organization ¨C case study in packaging manufacturing ,VSM , Used alone ," Shortening of process time, Reduction in total time of operations adding value, Decrease in number of non-compliant products ", One of the largest producers of cardboard food packaging in Poland ,Poland,Europe, Packaging manufacturing ,Packaging,2017," Total material flow time reduced from 38 minutes and 55 seconds to 24 minutes and 8 seconds, Sum of adding values operation times reduced from 19 minutes and 10 seconds to 17 minutes and 20 seconds, Share of non-compliant products minimized ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 63 , Case Study: Maintenance Proposal of Press Parts Production for Minimize Waste by Lean Manufacturing ¨CVSM ,VSM , Used alone , - Reduction in lead time by 54%<br>- Decrease in non-value added time activity<br>- More efficient use of resources ," Enterprise T, a manufacturing company in Indonesia ",Indonesia,Asia, Press parts production ,Press parts,2017, 54% reduction in lead time , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 43,Value Stream Mapping of Rope Manufacturing: A Case Study,VSM ,VSM  used alone,"Reduced processing time by 68%, waiting time by 88%, and material handling time by 33%. Total time required for the manufacturing process was reduced by 75%.",University of Louisiana at Lafayette,United States,North America,Rope Manufacturing,Rope,2017,75% reduction in total manufacturing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 97 , Value Stream Mapping of Rope Manufacturing: A Case Study ,VSM , VSM  was used in combination with Lean manufacturing principles , - Improved process efficiency<br>- Shorter wait times<br>- More efficient process flow<br>- Faster delivery of orders to customers ," Lafayette, LA, USA ",United States,North America, Rope Manufacturing ,Rope,2017, - Total time from order placement to shipping reduced from 36 days to 9 days (75% improvement)<br>- Processing time in receiving order stage reduced by 68%<br>- Waiting time in receiving order stage reduced by 88%<br>- Material handling time reduced by 33% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 51 , The First Steps Towards Lean Transformation: A Case Study of a Small Thermal Insulation Panels Company ,VSM , Used alone , - Reduction of lead time by more than 18%<br>- Reduction of time for adding value to the product by over 76%<br>- Reduction of Work in Progress (WIP) by over 66% ," A small thermal insulation panels company in the Greater S?o Paulo region, Brazil ",Brazil,South America, Manufacturing ,Thermal insulation panels ,2017, - Lead time: 18% reduction<br>- Time for adding value: 76% reduction<br>- WIP: 66% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 62 ," Application of Value Stream Mapping on The Goodyear Aftermarket Customer Satisfaction Process in Europe, Middle East, and Africa (EMEA) ",VSM , Used alone , - Improved process visibility<br>- Enhanced decision-making<br>- Focused on systems thinking , Goodyear Innovation Center Luxembourg (GICL) ,Luxembourg,Europe, Tire manufacturing ,Tire,2017, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 105 , Divergence between Value Stream Mapping Western Understanding and Material and Information Flow Chart Principles: A Japanese Automotive Supplier's Perspective ,VSM ," Not explicitly stated, but the focus is on VSM  and its comparison with Material and Information Flow Chart (MIFC) principles ", - Provides a different perspective on VSM  based on the core knowledge of a Japanese supplier that learned the principles directly from the source<br>- Enables organizations to reevaluate their current measurement systems and choose more suitable ones , Japan ,Japan,Asia, Automotive supplier ,Automotive,2018, Not specified ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 102,The Impact of Value Stream Mapping in Business Process Improvement,VSM ,VSM  used alone,"Increased business process performance, reduced Cycle Time, Lead Time, and inventory levels, improved product quality, and enhanced customer satisfaction",Czech Republic,Czech Republic,Europe,Manufacturing and service sectors,Manufacturing and service sectors,2018,Various improvement rates depending on the case study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 73 , Implementation of Lean Manufacturing and Lean Audit System in an Auto Parts Manufacturing Industry ¨C An Industrial Case Study ,VSM , VSM  in combination with Kaizen and Total Productive Maintenance (TPM) , - Improved productivity and defect reduction in the foundry division<br>- Enhanced customer satisfaction by reducing lead time and improving product quality , Foundry division of an auto parts manufacturing industry in India ,India,Asia, Automotive ,Automotive,2018," - Average core rejections reduced from 6.59% to 4.57%, a reduction of 2.02%<br>- Cost savings of Rs 2332.80 in the new system<br>- Consolidated gain of Rs 28836 for six months periods for ten machines ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 116 , Improving Material Flow and Handling in a Manufacturing Company ,VSM , VSM  used alone ," Improved material flow and handling, increased productivity and efficiency, better ergonomics "," LEAX Skaraborg AB, Sweden ",Sweden,Europe, Manufacturing ,Manufacturing,2018," Manual material handling time reduced by 9%, movement of material reduced, lifting activities eliminated ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 140 , Application of Lean Manufacturing in the Painting Plant Manufacturing Process by Reducing Waste Waiting - A Case Study at PT.Koba Multi Indonesia ,VSM , Used alone , - Identification and elimination of non-value-added activities <br> - Increase in productivity and efficiency <br> - Reduction of waste and delays <br> - Improvement of product quality and customer satisfaction ," PT. Koba Multi Indonesia, Tangerang Districts, Banten, Indonesia ",Indonesia,Asia, Manufacturing (Fabrication and Services) ,Fabrication and Services,2019, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 60 , An Application of Lean Manufacturing Techniques in Paint Manufacturing Company: A Case Study ,VSM ," Combined use of VSM, 5S, SMED, and Kanban "," Decreased changeover time by 59%, Increased daily productivity, Reduced defects batches by 57%, Eliminated shortages of semi-finish product, Increased output of pre-weighing batches by 57%, Reduced overtime hours by 77%, Reduced waste handling by 85% and 53% for non-hazardous and hazardous waste respectively ", A paint manufacturing company in Saudi Arabia ,Saudi Arabia,Asia, Paint manufacturing ,Paint,2019, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 160 , Manufacturing Efficiency Improvement Through Lean Manufacturing Approach: A Case Study in A Steel Processing Industry ,VSM , VSM  used alone ," Identified production waste, proposed maintenance improvement program, increased manufacturing cycle efficiency from 68.08% to 71.3% (3.75%) ", Indonesia ,Indonesia,Asia, Steel production ,Steel,2019, Manufacturing cycle efficiency increased by 3.75% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 61 , Value Stream Mapping in the Automotive Industry: A Case Study ,VSM , Combined use of VSM  and Lean Six Sigma principles ," Improved lead time (reduction of 30%), Increased productivity (increase of 20%), Reduction of inventory levels (decrease of 25%), Enhanced customer satisfaction (improvement in delivery time and product quality) ", Automotive parts manufacturing plant in Portugal ,Portugal,Europe, Automotive industry ,Automotive,2021," Lead time (30% reduction), productivity (20% increase), inventory levels (25% decrease), and customer satisfaction (improvement in delivery time and product quality) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 263 , The workers' perspective: emotional consequences during a lean manufacturing change based on VSM  analysis ,VSM , Not specified , - Improved worker productivity and work performance ," Barcelona, Spain ",Spain,Europe, Manufacture of equipment for domestic and industrial use ,Equipment for domestic and industrial use ,2022, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 247 , Development of Sustainable Production System using Value Stream Mapping: A Case Study ,VSM , Not specified , - 7.87% reduction in total manufacturing time<br>- 7% reduction in number of employees<br>- 57% reduction in component wastes<br>- 60% reduction in poor quality products<br>- 18% reduction in average processing time<br>- 10% increase in finished products , Unnamed company in Serbia ,Serbia,Europe, Plastic processing ,Plastic,2022, - Total manufacturing time: 7.87% reduction<br>- Number of employees: 7% reduction<br>- Component wastes: 57% reduction<br>- Poor quality products: 60% reduction<br>- Average processing time: 18% reduction<br>- Finished products: 10% increase , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 259 , Modular Data and Calculation Framework for a Technology-Based Mapping of the Manufacturing Process According to the Value Stream Management Approach ,VSM , VSM  used in combination with digital data sources and technology-based mapping , - Improved data gathering and structuring<br>- Enhanced flexibility in dynamic environments<br>- Reduction of manual efforts and time consumption ," Magdeburg-Stendal University of Applied Sciences, Germany ",Germany,Europe, Not mentioned ,Not,2023, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 14 , A framework for VSM  integrated with Fuzzy QFD ,VSM  and Fuzzy Quality Function Deployment (Fuzzy QFD) , Used in combination with Fuzzy QFD ," Enabled scientific mapping of wastes with improvement proposals, Enabled systematic implementation of improvement proposals, Resulted in a 4% reduction in cycle time ", Indian camshaft manufacturing organization ,India,Asia, Not provided ,,2015, 4% reduction in cycle time , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 107,"Evaluation of Value Stream Mapping Application in Pasta Manufacturing: A Case Study of Golden Pasta Company, Lagos",VSM  and various lean manufacturing techniques,"VSM  was used in combination with other lean manufacturing techniques such as 5S, Kanban pull system, Supermarket pull system, Single Minute Exchange of Die (SMED), Kaizen idea sheet, Lean implementation tracking sheet, and root-cause analysis","Reduced production lead time, increased customer satisfaction, and reduced production costs due to the elimination of non-value added activities and wastes in the manufacturing processes","Golden Pasta Company, Lagos, Nigeria",Nigeria,Africa,Food processing industry,,2018,"Reduction in production lead time from 34.4 hours to 5.04 hours (85.3% reduction), increase in customer satisfaction due to higher delivery time and reduced scraps, reduction in production costs due to the elimination of non-value added activities and wastes in the manufacturing processes. The study also found that 90% of manufacturing activities are non-value added and can be considered as waste, which can be eliminated through the application of lean manufacturing philosophy and techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 103,Cellular and organisational team formations for effective Lean transformations,VSM  used in combination with Lean techniques,VSM  used in combination with Lean techniques,"Enhanced teamwork, improved communication, reduced waste, increased efficiency, and continuous improvement","University of South Africa, Pretoria, South Africa",South Africa,Africa,Discrete manufacturing,,2018,Not specified in the provided document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 161 , Process Optimization Using Lean Manufacturing to Reduce Downtime: Case Study of A Manufacturing SME in Peru ,VSM and 5S principles , VSM  used in combination with 5S ," Reduction of downtime, improved process efficiency, enhanced quality and productivity, improved worker motivation ", Peru ,Peru,South America, Small-scale manufacturing , Small-scale manufacturing ,2019," 12% decrease in accident rate, 90 ppm to 5 ppm reduction in end customer rejections, 72% to 77% increase in 5S audit scores, 250 ppm to 40 ppm reduction in products damaged by operators ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 98 , An industrial case study on discrete event modelling of value stream mapping for Industry 4.0 ,VSM and Data Stream Mapping (DSM) , VSM  and DSM were combined , - Ability to stress test and plan the company's Industry 4.0 implementation strategy over time<br>- Revelation of the interdependent nature of workforce and technology necessitating simultaneous development to achieve optimal functionality , United Kingdom ,UK,Europe, Small to medium-sized enterprise (SME) in the manufacturing sector , Small to medium-sized enterprise (SME) ,2020, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 55 , Value Stream Mapping and Earned Value Analysis: A Case Study in the Paper Packaging Industry in Brazil ,VSM and Earned Value Analysis (EVA), Combined use of VSM  and EVA ," Better diagnosis of the situation, Opportunities for eliminating wastes and enhancing operations, Improved monitoring of involved costs, Potential production gains and quality improvement ", Brazil ,Brazil,South America, Paper packaging industry , Paper packaging  ,2013, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 44 , Cost Reduction through Waste Management in Auto Parts Industry: A Case Study ,VSM and Eliminate Combine Simplify Reduce (ECSR) technique , Used in combination with Eliminate Combine Simplify Reduce (ECSR) technique , - Reduction of 94.4% in material movement waste<br>- Reduction of 76.4% in Work in Process (WIP) inventory<br>- Reduction of 15.38% in workforce<br>- Monthly profit increase of Rs. 15738.4 , Unnamed auto parts industry in India ,India,Asia, Auto parts manufacturing ,Automotive,2016, Improvement rate for KPIs not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 35 , An integrated fuzzy-based decision support system for the selection of lean tools: A case study from the steel industry ,VSM and Fuzzy Analytical Hierarchy Process (AHP) , Used in combination with Fuzzy AHP , - Identification of waste and non-value adding activities in the manufacturing process<br>- Improvement of information and material flow<br>- Enhancement of overall supply chain effectiveness , Steel industry in the western part of India ,India,Asia, Manufacturing ,Steel ,2006," Not explicitly mentioned, but potential benefits such as reduction in cycle time, improved on-time deliveries, reduced costs, and increased flexibility are mentioned. ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 109,"Implementation of Lean Manufacturing to Reduce Waste in Production Line with Value Stream Mapping Approach and Kaizen in Division Sanding Upright Piano, Case Study in: PT. X",VSM and Kaizen,VSM  was used in combination with Kaizen,Reduction in cycle time from 51.16 minutes to 41.90 minutes?<br>?Decrease in work in process or inventory from 32 pcs to 24 pcs?<br>?Lead-time reduction from 0.222 days to 0.167 days,"PT. X, a manufacturing company producing Upright Pianos and Grand Pianos",Indonesia,Asia,Musical instrument manufacturing,Musical instrument,2018,Cycle time improvement rate: approximately 14.16%?<br>?Work in process or inventory improvement rate: approximately 25%?<br>?Lead-time improvement rate: approximately 25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 264 , Transformer Production Improvement by Lean and MTM-2 Technique ,VSM and Lean Manufacturing , VSM  used in combination with ECRS technique , - Increased productivity by 97.11%<br>- Reduced production time by 73.04%<br>- Increased hourly output by 30% , Thailand ,Thailand,Asia, Electronic component production (transformer manufacturing) ,Electronic,2022, - Labor Productivity: +97.11%<br>- Production Time: -73.04%<br>- Output per Hour: +30% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 228 , Process improvement using value stream mapping and lean methodology: a case study application in batch chemical process industry ,VSM and Lean Methodology , VSM  used in combination with Lean Methodology ," Improved production efficiency, reduced production lead time, decreased production costs ", Indonesia ,Indonesia,Asia, Batch Chemical Manufacturing Company , Batch Chemical ,2021, Not explicitly stated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 400,Analysis of the supply chain performance measurement system using the SCOR 12.0 and the value stream mapping method approach towards sustainability strategy (case study: power generation company in Indonesia),VSM and SCOR,VSM used in combination with SCOR 12.0,"Increased productivity, reduced costs, improved customer satisfaction",,Indonesia,Asia,Power generation,,2023,98.89% for KPI P-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 54 , Value Stream Mapping and Simulation for Lean Manufacturing: A Case Study in Furniture Industry ,VSM and Simulation , Used in combination with simulation techniques , - Improved production efficiency<br>- Reduced lead time<br>- Increased productivity ," Furniture manufacturing company in Denizli, Turkey ",Turkey,Asia, Furniture Industry ,Furniture,2016, - Lead time: 30% reduction<br>- Productivity: 20% increase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 28 , Flexible Lot Size for Kanban System to Reduce Material Overflow in Hard Disc Assembly Process ,VSM and simulation modeling , Combination with simulation modeling and lean manufacturing principles ," - Minimizing the overflow of incoming materials at the Compound/Kitting section by 87.3%<br>- Sustaining a smooth production flow between Warehouse, Compound/Kitting section, and Assembly line section using the JIT concept ", An electronic manufacturing company in Malaysia ,Malaysia,Asia, Hard disc manufacturing ,Hard disc,2015, - Overflow of incoming materials at the Compound/Kitting section was reduced by 87.3% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 11 , Value Stream Engineering ¨C A case study of process optimization for the supply chain of window installation ,VSM and Value Stream Engineering (VSE) , Used in combination with Lean Production methods and concepts from the automotive industry , Optimization of the value chain in construction to achieve lower costs and shorter lead times without compromising on quality and individuality ," Bolzano, Italy ",Italy,Europe, Small and medium-sized enterprises (SMEs) in the construction industry ,Construction,2013, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 38 , Value Stream Mapping and Work Standardization as Tools for Lean Manufacturing Implementation: A Case Study of an Indian Manufacturing Industry ,VSM and Work Standardization ," Not explicitly mentioned, but the abstract implies that these two methods were used in conjunction with other lean production tools ", - Reduction in lead time<br>- Increase in productivity , An Indian manufacturing industry ,India,Asia, Manufacturing ,Manufacturing,2015, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 72 , Implementation of Lean Tools in an Automotive Industry for Productivity Enhancement - A Case Study ,"VSM combined with 5S, work standardization, and line balancing ", VSM  in combination with other lean tools , - Reduction of non-value added time by about 13%<br>- Increase in process cycle efficiency by about 10%<br>- Improvement in workplace organization and standardization<br>- Enhanced efficiency in the production process ," An automotive transmission component manufacturing industry located at Chennai, India ",India,Asia, Automotive ,Automotive ,2017, - Cycle time: Approximately 10% reduction<br>- Process cycle efficiency: Increased from 71.24% to 81.18% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 82 ," (Title not mentioned, but inferred as ""The Application of DMAIC Tools and Value Stream Mapping under the Perspective of the Lean Philosophy for Process Improvement: A Case Study"") ","VSM combined with DMAIC (Define, Measure, Analyze, Improve, Control) framework ", Used in combination ," Identification of waste and inefficiencies in the service chain, centralization of the company's inventory, reduced waste and increased efficiency, improved management of work routine ", A company in Brazil that trades in vitro diagnostic equipment ,Brazil,South America, Medical equipment sector , Medical equipment,2017, (Improvement rate for KPIs not mentioned) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 64 , Design of Lean Production with Sustainability and Fuzzy Logic in Value Stream Analysis Tools ,VSM combined with Fuzzy Logic , Used in combination with Fuzzy Logic , - Reduction in NNVA and NVA time<br>- Lead time reduction<br>- Increased production (from 28-30 units to 42 units per day) ," Yogyakarta, Indonesia ",Indonesia,Asia, Small and Medium Enterprises (SMEs) in the manufacturing sector , Small and Medium Enterprises (SMEs) in the manufacturing sector ,2017, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 57 , Lean Tool Selection in a Die Casting Unit: A Fuzzy-Based Decision Support Heuristic ,VSM in combination with a fuzzy-based decision support heuristic , Combined use of VSM  and a fuzzy-based decision support heuristic ," Identification and reduction of wastes in the manufacturing process, Improvement in productivity and quality of the process, Enhancement of customer satisfaction by meeting their demands on time "," A die casting unit in Ranchi, India ",India,Asia, Manufacturing ,Die casting,2006, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 143 , Cleaner Production Value Stream Mapping at a Chromium Plating Plant: A Case Study ,VSM in combination with Cleaner Production (CP) technology (referred to as Cleaner Production VSM (CPVSM )) , VSM  used in combination with Cleaner Production (CP) technology , - Promotes production line sustainability by reducing waste and improving efficiency <br> - Enhances visualization of lean practices and promotes sustainable development <br> - Improves the CP process implementation and promotes lean manufacturing sustainability , Small Medium Enterprise (SME) chromium plating company in Malaysia ,Malaysia,Asia, Manufacturing ,Chromium plating,2019, Not mentioned ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 232 , Sustainable-value stream mapping to improve manufacturing sustainability performance: a case study in a natural dye batik SME's ,VSM in combination with Lean Manufacturing principles , VSM  used in combination with other methods ," Improved manufacturing sustainability performance, enhanced product quality and consistency, positive environmental impact ", Indonesia ,Indonesia,Asia, Natural dye batik Small and Medium-sized Enterprises (SMEs) , Natural dye batik ,2020, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 235 , Redesigning an Assembly Line through Lean Manufacturing Tools ,VSM in combination with other lean manufacturing tools , VSM  used in combination with other methods ," Lead time reduction by 60%, work-in-progress inventory decrease by 50%, productivity improvement by 20%, enhancement of worker satisfaction and motivation ", Spain ,Spain,Europe, Manufacturing industry , Manufacturing ,2009," Lead time: 60% reduction, Work-in-progress inventory: 50% decrease, Productivity: 20% improvement ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 290 , Application of a concept development process to evaluate process layout designs using value stream mapping and simulation ,VSM in combination with simulation and concept development process (CDP) , VSM  used in combination with simulation and CDP ," Identification of the most efficient process layout design (Independent Zone Layout) for a portable fire extinguisher manufacturing company, leading to increased productivity and reduced cycle time ", A portable fire extinguisher manufacturing company in the United States ,United States,North America, Portable fire extinguisher manufacturing ,Portable fire extinguisher ,2011," Independent Zone Layout led to 39% reduction in complexity compared to Current Layout and 36% reduction compared to Express Lane Layout, annual capacity met demand of 8.5 million units ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 100 , Application ofVSM in Gear Manufacturing Process: A Case Study ,VSM integrated with Kaizen and Just-in-Time (JIT) , VSM  was used in combination with Kaizen and JIT ," - Reduction in process cycle time by 10 minutes in the shaping section and 15 minutes in the tempering section<br>- Decrease in inventory equal to 528 minutes of production lead time, resulting in a reduction to 132 minutes<br>- Continuous process flow, reduction in inventory, and reduction in total time for travel<br>- Increase in the process ratio from 0.36 to 0.67 "," Lahore, Pakistan ",Pakistan,Asia, Large gear manufacturer producing gears for agriculture machinery and power generators ,Gear and power generator,2016, - Process cycle time reduction: 10 minutes in shaping and 15 minutes in tempering<br>- Inventory reduction: From 528 minutes to 132 minutes of production lead time<br>- Process ratio improvement: From 0.36 to 0.67 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 298 , QFD integrated value stream mapping: an enabler of lean manufacturing ,VSM integrated with Quality Function Deployment (QFD) , In combination with Quality Function Deployment (QFD) , - Scientific prioritization of wastes and techniques for waste elimination<br>- Streamlining of manufacturing processes<br>- Improvement in lead time and inventory management<br>- Enhancement of product quality , Conducted in an Indian pump manufacturing organization ,India,Asia, Manufacturing ,Pump,2011," Not explicitly stated, but significant improvements in lead time, inventory management, and product quality can be inferred ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 171 , Application of Lean Manufacturing Principles to Eliminate Losses in a Productive Process ,VSM used in combination with Lean Manufacturing principles and quality tools , VSM  used in combination with Lean Manufacturing principles and quality tools ," 12.1% reduction in the annual loss percentage index of packaging, Improvement in communication between different sectors of the company, Greater visibility of the losses indicators in the unit "," Industrial unit in the state of Sergipe, Brazil ",Brazil,South America, Packaging , Packaging ,2020, Packaging loss: 12.1% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 101,Waste Detection and Optimization by Applying Bayesian Causal Map Technique on Value Stream Maps,VSM with Bayesian Causal Mapping integrated  ,Value Stream Mapping in combination with Bayesian Causal Mapping,"Simplification of complex processes, improved performance analysis",Istanbul Technical University,Turkey,Asia,Academic research,Academic research,2021,Not specified in the provided document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 90 , Materials Flow Improvement in a Lean Assembly Line: A Case Study ,"VSM, 5S system, Just-In-Time (JIT) production ", Used in combination with 5S and JIT ," Reduction in materials handling time by 32%, Decrease in work-in-process inventory by 47%, Improvement in space utilization by 25%, Enhancement of employee involvement and motivation ", Manufacturing plant in the automotive sector in Spain ,Spain,Europe, Automotive ,Automotive ,2007," Cycle time reduction: 28%, Productivity increase: 19%, Lead time reduction: 35%, Quality improvement (defect rate reduction): 22% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 91 , Value Stream Mapping for Lean Construction in Offsite Housing Projects ,"VSM, Building Information Modeling (BIM) ", Used in combination with BIM ," Cost reduction, Time reduction, Quality improvement, Higher performance ", UK ,UK,Europe, Construction ,Construction,2021, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 81,Production Flow Efficiency with Mass Customization in Small-Medium Enterprises: A Case Study Within the Swedish Electronics Industry,"VSM, Company Surveys, Interviews, Observations","VSM  used in combination with company surveys, interviews, and observations","Identified challenges with mass customization, inefficiencies in material flow due to push system, importance of production planning and control, communication and knowledge management for flow efficiency",Swedish Electronics Industry (Single Case Study),Sweden,Europe,Electronics,Electronics,2017,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 93 ,Value Stream Mapping On Gear Manufacturing Company,"VSM, Kaizen, 5 whys ", Used in combination with other lean tools and methods ," Reduced lead times, improved flow, removal of wasteful activities in the pharmaceutical packaging process ", Swedish pharmaceutical manufacturing company ,Sweden,Europe, Pharmaceutical industry ,Pharmaceutical,2017, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
