 Paper ID , Manuscript Title , Method used for optimization of the supply chain , VSM  used alone or in combination with other optimization methods , Main benefits , Place where the study was implemented ,Country,Continent, Company sector ,Sector , Year of publication , Improvement rate for the KPIs , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,,, 
Paper 37,VSM  每 A Case Study in Orthopedic Hospital,VSM ,VSM  used alone,"Elimination of waste, increased productivity, flexibility, smoothness, and high-quality service","Orthopedic Hospital, Nagpur",India,Asia,Healthcare,Healthcare,2015,Not explicitly stated in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 27 , Enhanced Value Stream Mapping: Potentials and Feasibility of IT Support through Manufacturing Execution Systems ,VSM , Combination with Manufacturing Execution Systems (MES) ," - Improved data collection and analysis for VSM <br>- Enhanced ability to view historical data, such as inventory levels and energy consumption, to support sustainability efforts<br>- Increased efficiency and effectiveness of VSM  through the use of real-time data and automation ", The case study was conducted at the Center for Industrial Productivity (CiP) at the Technische Universit?t Darmstadt in Germany ,Germany,Europe, Manufacturing ,Manufacturing,2015," Not provided, but mentioned improvements in lead time, productivity, work in progress levels, and flexibility regarding volume and variants ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 29 , Implementing Lean in a Small to Medium-Sized Enterprise: A Case Study ,VSM , Combination with 5S methodology , - Identified areas of waste and inefficiency in the production process<br>- Improved lead times and reduced work-in-progress (WIP)<br>- Enhanced overall productivity and resource efficiency , A small to medium-sized manufacturing enterprise producing a specific product family ,-,-, Manufacturing ,Manufacturing,2015," Not provided, but potential reduction in cycle times, lead times, and decreased WIP levels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 39 , Value Stream Mapping: Case Study on Residential Construction Sector ,VSM , Used alone , - Identification of production and environmental waste in the value stream<br>- Improved material and information flow<br>- Recommendations for establishing an implementation plan to produce future plans ," Warhol, Pune, India ",India,Asia, Residential Construction ,Residential construction,2015," Not provided, but the use of VSM  led to the detection of waste and inefficiencies in the value stream, paving the way for future improvements. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 18 , Applicability of lean towards improved efficiency in sample processes 每 A case study of a Swedish branded retailer ,VSM ," Yes, used in combination with other methods such as interviews, observations, and document analysis "," Identification of non-value adding activities, improved efficiency in the sample process, and potential for increased customer satisfaction ", Sweden ,Sweden,Europe, Branded retailer in the textile industry ,Textile,2015, Not explicitly mentioned in the provided document , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 74 , Making the value flow: application of value stream mapping in a Brazilian public healthcare organisation ,VSM , Not specified ," - Reduction of wastes, inventory levels, and production lead times in the hospital sterilisation unit ", Unnamed Brazilian public healthcare organisation ,Brazil,South America, Public healthcare , Public healthcare ,2016, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 65 ," Elimination of Wastes in Pasta manufacturing using Value Stream Mapping Techniques: a case study of Golden Pasta Company, Lagos ",VSM , Used alone ," - Reduction in production lead time from 1.43 days to 5.04 hours<br>- Decrease in waste by 85.3%<br>- Potential cost savings of N42,188,880 yearly "," Golden Pasta Company, Lagos, Nigeria (a subsidiary of Flour Mills of Nigeria) ",Nigeria,Africa, Food manufacturing industry ,Food,2016, - Production lead time (PLT): Decreased by 85.3%<br>- Cycle time (CT): Decreased by 42.2%<br>- Overall Equipment Efficiency (OEE): Increased by 40%<br>- Number of breakdowns: Reduced from 390 per month to 10 per month<br>- Material cost: Decreased by 49.7%<br>- Maintenance cost: Decreased by 61.6%<br>- Power (Energy) cost: Decreased by 12.5%<br>- Labour cost: Decreased by 51.1% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 19 , Application of Lean Manufacturing Concepts to Reduce Manufacturing Lead Times within the Meatball Production Process ,VSM , Used in combination with other Lean Manufacturing concepts and Design of Experiment technique , - Reduction of manufacturing lead times by up to 65.8%<br>- Decrease in time taken for cooling meatballs from 16 hours to 4.5 hours<br>- Improvement in process efficiency and reduction of waste ," Chiang Mai, Thailand ",Thailand,Asia, Food processing industry (meatball production) ,Food processing,2016, - Time taken for value-added activities dropped from 796.5 minutes to 341.5 minutes<br>- Time taken for non-value added activities decreased from 252.3 to 12.3 minutes<br>- Process times for temperature reduction step dropped from 967.7 minutes to 272.7 minutes<br>- Time taken for value-added activities during temperature reduction decreased from 725 minutes to 270 minutes<br>- Time taken for non-value added activities during temperature reduction decreased from 242.7 minutes to 2.7 minutes , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 42,Application of value stream mapping in a forging industry 每 A case study,VSM ,VSM  alone,Reduced production lead time from 14.9 days to 9.5 days,A forging industry,-,-,Manufacturing,Forging,2016,36.24% reduction in production lead time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 53,Use of Lean Management Philosophy in Health Sector: A VSM  Based Case Study,VSM ,VSM  used alone,"Identification and elimination of waste, improvement of productivity, reduction of time wastage for patients",A cardiology clinic,-,-,Healthcare,Healthcare,2016,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 49 , Improving IT process management through value stream mapping approach: a case study ,VSM , Used alone , - 89.7% reduction in lead time at planning phase<br>- 96.2% reduction at execution phase<br>- Almost 98% reduction at QA and handover process<br>- 92.2% reduction in overall lead time for GDBA database provision process<br>- Meets expected database delivery within 3 days , Not specified ,-,-, IT services ,IT services,2016, - Lead time at planning phase: 89.7% reduction<br>- Execution phase: 96.2% reduction<br>- QA and handover process: Almost 98% reduction<br>- Overall lead time for GDBA database provision process: 92.2% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 48,Implementation of Lean Knowledge Work in Oil and Gas Industry 每 A Case Study from a Risk-Based Inspection Project,VSM ,VSM  used alone,- Identification and elimination of waste in an RBI assessment project?<br>?- Improved process efficiency,O&G onshore facilities in Australia,Australia,Australia,Oil and Gas,Oil and gas,2016,Not specified in the document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 56 , Value Stream Mapping as a Tool for Lean Manufacturing Implementation - A Review ,VSM , VSM  used alone ," Identification and elimination of waste and non-value added activities (NVAs), Improvement of productivity and efficiency, Reduction of lead time and cycle time, Enhanced customer satisfaction and value addition "," Various international researches, including manufacturing and service sectors ",-,-, - ,Various,2016," Varies by case study, but notable improvements include: Reduction in lead time: 41.23%, Reduction in processing time: 15.43%, Reduction in production lead time: 30.68%, Improvement in throughput: 46.5%, Reduction in defect rate: 96%, Increase in uptime: 1.72% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 34,Optimizing Shipyard Interim Product Assembly Using a Value Stream Mapping Methodology,VSM ,VSM alone,"Up to 50% improvement in production line. The resulting improvements can be up to 700%
improvement in decreasing man-hours and 300% improvement
in duration time",,Croatia,Europe,Shipbuidling,shipbuidling,2016,The future value stream map has improvements of up to 50 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 95 , Value Stream Mapping On Gear Manufacturing Company ,VSM , VSM  was used alone , - Reduction in lead time from 32 days 7 hours to 17 days 3 hours<br>- Reduction in inventory<br>- Continuous flow of materials<br>- Reduced stock levels<br>- Reduction in inventory cost , Gear manufacturing company ,-,-, Manufacturing , Gear ,2017, - Lead time reduced by 46.25%<br>- Inventory reduced by 6 days and 8 hours<br>- Stock levels reduced from 4 days to 2 days and 8 hours , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 85 , Review of Lean Manufacturing Implementation: Case of Junction Box Post Processing Phase ,VSM , (Not specified if used alone or in combination) ," Reduction in lead time and change over time, decrease in human effort in the factory by over 50%, flexible manufacturing techniques ", (Not specified) ,-,-, Junction Box Post Processing Phase , Junction Box Post Processing Phase ,2017, (Improvement rate for KPIs not specified) , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 67 , Evaluating lean thinking using value stream mapping in manufacturing industry 每 a case study ,VSM , Used alone , - Reduction of processing time from 172 minutes to 164 minutes (4.65%)<br>- Reduction of lead time from 694 minutes to 536 minutes (22.76%)<br>- Reduction of work in progress inventory from 112 to 104 (7.14%)<br>- Reduction of workforce from 31 to 27 (16.13%) ," Ludhiana, Punjab, India ",India,Asia, Casting product manufacturing ,Casting products,2017," - Cycle time reduction: 3 minutes (20%) for unmoulding process<br>- Cycle time reduction: 4 minutes for painting process<br>- New cycle time of operation: 9 minutes instead of 12 minutes for unmoulding process<br>- New cycle time of operation: 10 minutes instead of 14 minutes for painting process<br>- Annual profit increase: 357,000 rupees ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 75 , Minimizing Waste Using Lean Manufacturing: A Case in Cement Production ,VSM ," VSM  in combination with Waste Assessment Questionnaire (WAQ), Failure Mode and Effect Analysis (FMEA), and Cause and Effect Diagram ", - Identification and minimization of waste in the cement production process<br>- Improvement of production process performance<br>- Increase in company's competitiveness ," Cement manufacturing company located in Padang, Indonesia ",Indonesia,Asia, Cement industry ,Cement,2017, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 87 , The Concept of Value Stream Mapping to Reduce of Work-Time Waste as Applied the Smart Construction Management ,VSM , Used alone ," Identification of work-time waste factors in construction projects, recommendation for decision-making to reduce work-time waste, improved efficiency and sustainability in construction management ", Indonesia ,Indonesia,Asia, Construction industry ,Construction,2017, Average 14.88% of working time was classified as waste ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 69 , Exploring the Impact of Lean Manufacturing on Flexibility in SMEs ,VSM , Used in combination with computer simulation and a case-study research approach , - Improved manufacturing flexibility<br>- Reduced costs<br>- Increased productivity<br>- Enhanced product quality ," A Small-Medium Enterprise producing decorated glass items, referred to as ALFA ",-,-, Manufacturing (decorated glass items) ,Decorated glass items,2017, - Cycle Time: Decreased from 611 min to 470 min (23.1% reduction)<br>- Change Over Time: Decreased from 49 min to 25 min (49.0% reduction)<br>- WIP Inventory: Decreased from 751 to 539 (28.0% reduction)<br>- Resources Utilization: Increased from 61.0% to 61.8% (0.8% increase) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 104 , Cleaner Production Implementation in an E-Waste Recovery Plant by Using the Value Stream Mapping ,VSM ," VSM  was used in combination with Lean Manufacturing tools and the Guidelines for Green Industry Auditor, 2014 "," - Improved environmental, economic, and societal performance of the e-waste recovery process<br>- Enhanced visualization of environmental and societal metrics in addition to the general VSM  metrics<br>- Better identification and elimination of environmental wastes, leading to improved process efficiency and sustainability "," Local e-Waste Recovery Plant, ABC Sdn. Bhd., Malaysia ",Malaysia,Asia, Electronic waste recovery and recycling ,Electronic,2017, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 77 , Operational Practices of Lean Manufacturing: Potentiating Environmental Improvements ,VSM ," Used in combination with Kaizen, PDCA, Ishikawa Diagram, Poka-Yoke, and Standardized Work "," Reduction of energy consumption by 21%, reduction of water consumption by 21%, and an annual cost reduction of US $ 17,900.00 ", Electronics industry company in Brazil ,Brazil,South America, Electronics manufacturing ,Electronics,2017," Reduction of energy consumption by 21%, reduction of water consumption by 21% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 96,Value Stream Mapping in a Discrete Manufacturing: A Case Study,VSM ,VSM  used alone,- Broad view of the entire flow?<br>?- Identification of wastes?<br>?- Lead time reduction by 59%?<br>?- Improvement in VA/NVA ratio by 138%?<br>?- Reduction in inventory by 61%,Discrete manufacturing organization,-,-,Not specified,Not,2017,Lead time: 59% reduction?<br>?VA/NVA ratio: 138% improvement?<br>?Inventory: 61% reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 94 , Value Stream Mapping as Lean Production tool to improve the production process organization 每 case study in packaging manufacturing ,VSM , Used alone ," Shortening of process time, Reduction in total time of operations adding value, Decrease in number of non-compliant products ", One of the largest producers of cardboard food packaging in Poland ,Poland,Europe, Packaging manufacturing ,Packaging,2017," Total material flow time reduced from 38 minutes and 55 seconds to 24 minutes and 8 seconds, Sum of adding values operation times reduced from 19 minutes and 10 seconds to 17 minutes and 20 seconds, Share of non-compliant products minimized ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 63 , Case Study: Maintenance Proposal of Press Parts Production for Minimize Waste by Lean Manufacturing 每VSM ,VSM , Used alone , - Reduction in lead time by 54%<br>- Decrease in non-value added time activity<br>- More efficient use of resources ," Enterprise T, a manufacturing company in Indonesia ",Indonesia,Asia, Press parts production ,Press parts,2017, 54% reduction in lead time , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 43,Value Stream Mapping of Rope Manufacturing: A Case Study,VSM ,VSM  used alone,"Reduced processing time by 68%, waiting time by 88%, and material handling time by 33%. Total time required for the manufacturing process was reduced by 75%.",University of Louisiana at Lafayette,United States,North America,Rope Manufacturing,Rope,2017,75% reduction in total manufacturing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 97 , Value Stream Mapping of Rope Manufacturing: A Case Study ,VSM , VSM  was used in combination with Lean manufacturing principles , - Improved process efficiency<br>- Shorter wait times<br>- More efficient process flow<br>- Faster delivery of orders to customers ," Lafayette, LA, USA ",United States,North America, Rope Manufacturing ,Rope,2017, - Total time from order placement to shipping reduced from 36 days to 9 days (75% improvement)<br>- Processing time in receiving order stage reduced by 68%<br>- Waiting time in receiving order stage reduced by 88%<br>- Material handling time reduced by 33% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 51 , The First Steps Towards Lean Transformation: A Case Study of a Small Thermal Insulation Panels Company ,VSM , Used alone , - Reduction of lead time by more than 18%<br>- Reduction of time for adding value to the product by over 76%<br>- Reduction of Work in Progress (WIP) by over 66% ," A small thermal insulation panels company in the Greater S?o Paulo region, Brazil ",Brazil,South America, Manufacturing ,Thermal insulation panels ,2017, - Lead time: 18% reduction<br>- Time for adding value: 76% reduction<br>- WIP: 66% reduction , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 62 ," Application of Value Stream Mapping on The Goodyear Aftermarket Customer Satisfaction Process in Europe, Middle East, and Africa (EMEA) ",VSM , Used alone , - Improved process visibility<br>- Enhanced decision-making<br>- Focused on systems thinking , Goodyear Innovation Center Luxembourg (GICL) ,Luxembourg,Europe, Tire manufacturing ,Tire,2017, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 105 , Divergence between Value Stream Mapping Western Understanding and Material and Information Flow Chart Principles: A Japanese Automotive Supplier's Perspective ,VSM ," Not explicitly stated, but the focus is on VSM  and its comparison with Material and Information Flow Chart (MIFC) principles ", - Provides a different perspective on VSM  based on the core knowledge of a Japanese supplier that learned the principles directly from the source<br>- Enables organizations to reevaluate their current measurement systems and choose more suitable ones , Japan ,Japan,Asia, Automotive supplier ,Automotive,2018, Not specified ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 115,Improvement in Productivity of Leaf Spring Manufacturing Through Value Stream Mapping: A Case Study,VSM ,VSM  used alone,"Elimination of wastages, reduction in lead time, and improvement in productivity",Leaf spring manufacturing company,-,-,Automobile suspension manufacturing,Automotive,2018,Production costs decreased from 96.5lac to 96.1lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 102,The Impact of Value Stream Mapping in Business Process Improvement,VSM ,VSM  used alone,"Increased business process performance, reduced Cycle Time, Lead Time, and inventory levels, improved product quality, and enhanced customer satisfaction",Czech Republic,Czech Republic,Europe,Manufacturing and service sectors,Manufacturing and service sectors,2018,Various improvement rates depending on the case study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 73 , Implementation of Lean Manufacturing and Lean Audit System in an Auto Parts Manufacturing Industry 每 An Industrial Case Study ,VSM , VSM  in combination with Kaizen and Total Productive Maintenance (TPM) , - Improved productivity and defect reduction in the foundry division<br>- Enhanced customer satisfaction by reducing lead time and improving product quality , Foundry division of an auto parts manufacturing industry in India ,India,Asia, Automotive ,Automotive,2018," - Average core rejections reduced from 6.59% to 4.57%, a reduction of 2.02%<br>- Cost savings of Rs 2332.80 in the new system<br>- Consolidated gain of Rs 28836 for six months periods for ten machines ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 116 , Improving Material Flow and Handling in a Manufacturing Company ,VSM , VSM  used alone ," Improved material flow and handling, increased productivity and efficiency, better ergonomics "," LEAX Skaraborg AB, Sweden ",Sweden,Europe, Manufacturing ,Manufacturing,2018," Manual material handling time reduced by 9%, movement of material reduced, lifting activities eliminated ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 140 , Application of Lean Manufacturing in the Painting Plant Manufacturing Process by Reducing Waste Waiting - A Case Study at PT.Koba Multi Indonesia ,VSM , Used alone , - Identification and elimination of non-value-added activities <br> - Increase in productivity and efficiency <br> - Reduction of waste and delays <br> - Improvement of product quality and customer satisfaction ," PT. Koba Multi Indonesia, Tangerang Districts, Banten, Indonesia ",Indonesia,Asia, Manufacturing (Fabrication and Services) ,Fabrication and Services,2019, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 167 ,VSM Basic Training to Increase Industrial Productivity ,VSM , VSM  used alone ," Identification and elimination of waste in the production process, Improvement of material and information flow, Enhancement of company performance, Increase in productivity ", Not specified ,-,-, Manufacturing Industry ,Manufacturing,2019, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 60 , An Application of Lean Manufacturing Techniques in Paint Manufacturing Company: A Case Study ,VSM ," Combined use of VSM, 5S, SMED, and Kanban "," Decreased changeover time by 59%, Increased daily productivity, Reduced defects batches by 57%, Eliminated shortages of semi-finish product, Increased output of pre-weighing batches by 57%, Reduced overtime hours by 77%, Reduced waste handling by 85% and 53% for non-hazardous and hazardous waste respectively ", A paint manufacturing company in Saudi Arabia ,Saudi Arabia,Asia, Paint manufacturing ,Paint,2019, Not specified , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 160 , Manufacturing Efficiency Improvement Through Lean Manufacturing Approach: A Case Study in A Steel Processing Industry ,VSM , VSM  used alone ," Identified production waste, proposed maintenance improvement program, increased manufacturing cycle efficiency from 68.08% to 71.3% (3.75%) ", Indonesia ,Indonesia,Asia, Steel production ,Steel,2019, Manufacturing cycle efficiency increased by 3.75% , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 61 , Value Stream Mapping in the Automotive Industry: A Case Study ,VSM , Combined use of VSM  and Lean Six Sigma principles ," Improved lead time (reduction of 30%), Increased productivity (increase of 20%), Reduction of inventory levels (decrease of 25%), Enhanced customer satisfaction (improvement in delivery time and product quality) ", Automotive parts manufacturing plant in Portugal ,Portugal,Europe, Automotive industry ,Automotive,2021," Lead time (30% reduction), productivity (20% increase), inventory levels (25% decrease), and customer satisfaction (improvement in delivery time and product quality) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 1 , Value Stream Mapping for Supply Chain Optimization in the Aerospace Industry ,VSM , Used in combination with Lean Thinking principles and the Manufacturing System Framework ," Identification of waste, reduction of lead time, and improvement of overall system performance "," Heidelberg Web Systems, Inc. ",-,-, Aerospace Manufacturing ,Aerospace,2022," Lead time reduction: 40%, Inventory reduction: 30%, Overall equipment effectiveness (OEE) improvement: 25% ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 263 , The workers' perspective: emotional consequences during a lean manufacturing change based on VSM  analysis ,VSM , Not specified , - Improved worker productivity and work performance ," Barcelona, Spain ",Spain,Europe, Manufacture of equipment for domestic and industrial use ,Equipment for domestic and industrial use ,2022, Not explicitly stated , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 247 , Development of Sustainable Production System using Value Stream Mapping: A Case Study ,VSM , Not specified , - 7.87% reduction in total manufacturing time<br>- 7% reduction in number of employees<br>- 57% reduction in component wastes<br>- 60% reduction in poor quality products<br>- 18% reduction in average processing time<br>- 10% increase in finished products , Unnamed company in Serbia ,Serbia,Europe, Plastic processing ,Plastic,2022, - Total manufacturing time: 7.87% reduction<br>- Number of employees: 7% reduction<br>- Component wastes: 57% reduction<br>- Poor quality products: 60% reduction<br>- Average processing time: 18% reduction<br>- Finished products: 10% increase , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 259 , Modular Data and Calculation Framework for a Technology-Based Mapping of the Manufacturing Process According to the Value Stream Management Approach ,VSM , VSM  used in combination with digital data sources and technology-based mapping , - Improved data gathering and structuring<br>- Enhanced flexibility in dynamic environments<br>- Reduction of manual efforts and time consumption ," Magdeburg-Stendal University of Applied Sciences, Germany ",Germany,Europe, Not mentioned ,Not,2023, Not mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 296 , Improving Product Development Processes through Value Stream Mapping ,VSM , In combination with Root-Cause Analysis Diagram and other lean tools , - Identification and quantification of waste in product development processes<br>- Development of a process for measuring waste with waste indicators and value stream mapping<br>- Application of the developed tools and processes to three industrial case studies<br>- Identification of typical root-causes for waste , Two companies in the product development sector ,-,-, Not provided ,Not,2023," - Time per one occurrence of rework exponentially increases as time spent on the project increases<br>- In one of the investigated projects, information got rotten at the rate of 6% a month, indicating that information inventoried for a month causes additional engineering work by 6% ", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 45,Business Process Analysis in Hybrid Service and Manufacturing SMEs,VSM      and   ,VSM  used in combination with Organizational Information Processing Theory (OIPT),"Identification of areas of waste and improvement opportunities, leaner business processes",Not specified,-,-,Hybrid service and manufacturing,Hybrid,2021,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 14 , A framework for VSM  integrated with Fuzzy QFD ,VSM  and Fuzzy Quality Function Deployment (Fuzzy QFD) , Used in combination with Fuzzy QFD ," Enabled scientific mapping of wastes with improvement proposals, Enabled systematic implementation of improvement proposals, Resulted in a 4% reduction in cycle time ", Indian camshaft manufacturing organization ,India,Asia, Not provided ,,2015, 4% reduction in cycle time , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper 107,"Evaluation of Value Stream Mapping Application in Pasta Manufacturing: A Case Study of Golden Pasta Company, Lagos",VSM  and various lean manufacturing techniques,"VSM  was used in combination with other lean manufacturing techniques such as 5S, Kanban pull system, Supermarket pull system, Single Minute Exchange of Die (SMED), Kaizen idea sheet, Lean implementation tracking sheet, and root-cause analysis","Reduced production lead time, increased customer satisfaction, and reduced production costs due to the elimination of non-value added activities and wastes in the manufacturing processes","Golden Pasta Company, Lagos, Nigeria",Nigeria,Africa,Food processing industry,,2018,"Reduction in production lead time from 34.4 hours to 5.04 hours (85.3% reduction), increase in customer satisfaction due to higher delivery time and reduced scraps, reduction in production costs due to the elimination of non-value added activities and wastes in the manufacturing processes. The study also found that 90% of manufacturing activities are non-value added and can be considered as waste, which can be eliminated through the application of lean manufacturing philosophy and techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 70,Lean Planning & Production Flow Analysis through Lean Techniques: A Steel Sector Case Study,VSM  used in combination with cyclic schedules,VSM  used in combination with cyclic schedules,"Reduction of waste and improvement of product quality, cost reduction, and process control",Steel industry,-,-,Manufacturing,,2017,Not specified in the provided document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 103,Cellular and organisational team formations for effective Lean transformations,VSM  used in combination with Lean techniques,VSM  used in combination with Lean techniques,"Enhanced teamwork, improved communication, reduced waste, increased efficiency, and continuous improvement","University of South Africa, Pretoria, South Africa",South Africa,Africa,Discrete manufacturing,,2018,Not specified in the provided document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 161 , Process Optimization Using Lean Manufacturing to Reduce Downtime: Case Study of A Manufacturing SME in Peru ,VSM and 5S principles , VSM  used in combination with 5S ," Reduction of downtime, improved process efficiency, enhanced quality and productivity, improved worker motivation ", Peru ,Peru,South America, Small-scale manufacturing , Small-scale manufacturing ,2019," 12% decrease in accident rate, 90 ppm to 5 ppm reduction in end customer rejections, 72% to 77% increase in 5S audit scores, 250 ppm to 40 ppm reduction in products damaged by operators ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 20 , Application of Lean Manufacturing Using Simulation ,VSM and Computer Simulation , Used in combination , - Identification of areas for efficiency improvements in the production system<br>- Formulation of alternatives for improvement<br>- Proper evaluation of proposed solutions without interrupting actual production , Automotive components manufacturing company ,-,-, Not specified ,Not,2015," The study demonstrated the potential for significant improvements in productivity, but specific KPIs and improvement rates were not mentioned in the provided document. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 98 , An industrial case study on discrete event modelling of value stream mapping for Industry 4.0 ,VSM and Data Stream Mapping (DSM) , VSM  and DSM were combined , - Ability to stress test and plan the company's Industry 4.0 implementation strategy over time<br>- Revelation of the interdependent nature of workforce and technology necessitating simultaneous development to achieve optimal functionality , United Kingdom ,UK,Europe, Small to medium-sized enterprise (SME) in the manufacturing sector , Small to medium-sized enterprise (SME) ,2020, Not provided , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Paper 281 , Application of Simulation to Design and Operation of Steel Mill Devoted to Manufacture of Line Pipes ,"VSM and Discrete-event simulation combined with bottleneck analysis, work measurement, floor space requirements and facility layout analysis", VSM  used in combination with other methods ," Improved understanding of equipment and worker utilization, enhanced facility layout and material handling, better management of production schedule mix, downtime, and changeover times, enhanced decision-making for facility design and operation ", Not specified ,-,-, Steel manufacturing , Steel  ,2010, Not explicitly mentioned , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
